,Name,Marketcap,Price,Circ. Supply,Blockchain,24h Change,7d Change
31,HedgeTrade HEDG , 227.37M,0, 288.33M, Ethereum (ERC20),0,0
32,VeChain VET , 197.22M,0, 55.45B, Own Blockchain,0,0
33,Qtum QTUM , 193.65M,0, 96.12M, QTUM,0,0
34,TrueUSD TUSD , 183.66M,0, 183.38M, Ethereum (ERC20),0,0
35,0x ZRX , 173.22M,0, 601.26M, Ethereum (ERC20),0,0
36,ABBC Coin ABBC , 167.65M,0, 555.42M, Own Blockchain,0,0
37,Decred DCR , 158.26M,0, 10.59M, Own Blockchain,0,0
38,Holo HOT , 147.95M,0, 161.38B, Ethereum (ERC20),0,0
39,LUNA LUNA , 138.43M,0, 287.77M, Own Blockchain,0,0
40,Bitcoin Gold BTG , 135.68M,0, 17.51M, Own Blockchain,0,0
41,Ravencoin RVN , 134.26M,0, 4.72B, Own Blockchain,0,0
42,ZB ZB , 133.47M,0, 463.29M, Ethereum (ERC20),0,0
43,Centrality CENNZ , 125.18M,0, 1.06B, Ethereum (ERC20),0,0
44,OmiseGO OMG , 127.3M,0, 140.25M, Ethereum (ERC20),0,0
45,V Systems VSYS , 126.14M,0, 1.84B, Own Blockchain,0,0
46,EDUCare EKT , 119.67M,0, 850M, Ethereum (ERC20),0,0
47,KuCoin Shares KCS , 113.15M,0, 86.86M, Ethereum (ERC20),0,0
48,Swipe SXP , 107.85M,0, 61.14M, Ethereum (ERC20),0,0
49,Nano NANO , 107.99M,0, 133.25M, Own Blockchain,0,0
50,Synthetix Network Token SNX , 103.28M,0, 140.52M, Ethereum (ERC20),0,0
51,DigiByte DGB , 98.33M,0, 12.42B, Own Blockchain,0,0
52,Lisk LSK , 92.57M,0, 121.17M, Lisk,0,0
53,Bitcoin Diamond BCD , 92.98M,0, 186.49M, Own Blockchain,0,0
54,Bytom BTM , 93.02M,0, 1B, Ethereum (ERC20),0,0
55,Algorand ALGO , 90.94M,0, 424.61M, Own Blockchain,0,0
56,BitTorrent BTT , 89.74M,0, 212.12B, Tron (TRC10),0,0
57,Augur REP , 88.12M,0, 11M, Ethereum (ERC20),0,0
58,Dai DAI , 86.64M,0, 87.09M, Ethereum (ERC20),0,0
59,Theta THETA , 82.62M,0, 870.5M, Ethereum (ERC20),0,0
60,Siacoin SC , 82.22M,0, 41.82B, Own Blockchain,0,0
61,BitShares BTS , 76.92M,0, 2.75B, BitShares,0,0
62,Waves WAVES , 75.79M,0, 100.17M, Waves,0,0
63,Bytecoin BCN , 75.11M,0, 184.07B, Own Blockchain,0,0
64,ICON ICX , 74.15M,0, 500.92M, Own Blockchain,0,0
65,MonaCoin MONA , 72.09M,0, 65.73M, Own Blockchain,0,0
66,Quant QNT , 71.89M,0, 12.07M, Ethereum (ERC20),0,0
67,HyperCash HC , 67.99M,0, 44.4M, Own Blockchain,0,0
68,Crypto.com MCO , 64.48M,0, 15.79M, Ethereum (ERC20),0,0
69,Energi NRG , 63.39M,0, 22.02M, Own Blockchain,0,0
70,Komodo KMD , 62.4M,0, 116.62M, Own Blockchain,0,0
71,MaidSafeCoin MAID , 61.55M,0, 452.55M, Omni,0,0
72,Aeternity AE , 59.14M,0, 288.63M, Ethereum (ERC20),0,0
73,Nexo NEXO , 58.25M,0, 560M, Ethereum (ERC20),0,0
74,IOStoken IOST , 57.15M,0, 12.01B, Own Blockchain,0,0
75,Verge XVG , 57.26M,0, 16.02B, Own Blockchain,0,0
76,RIF Token RIF , 54.21M,0, 499.4M, Ethereum (ERC20),0,0
77,CRPT CRPT , 52.64M,0, 84.8M, Ethereum (ERC20),0,0
78,Ardor ARDR , 51.86M,0, 999M, Nxt,0,0
79,FTX Token FTT , 51.35M,0, 37.95M, Ethereum (ERC20),0,0
80,Enjin Coin ENJ , 47.7M,0, 784.61M, Ethereum (ERC20),0,0
81,Aurora AOA , 47.92M,0, 6.54B, Ethereum (ERC20),0,0
82,aelf ELF , 46.37M,0, 544.48M, Ethereum (ERC20),0,0
83,Steem STEEM , 46.76M,0, 349.16M, Own Blockchain,0,0
84,Newton NEW , 45.35M,0, 11.95B, Own Blockchain,0,0
85,Zilliqa ZIL , 44.57M,0, 8.69B, Ethereum (ERC20),0,0
86,Nash Exchange NEX , 42.59M,0, 36.2M, NEO,0,0
87,Zcoin XZC , 42.15M,0, 8.68M, Own Blockchain,0,0
88,Golem GNT , 42.18M,0, 980.05M, Ethereum (ERC20),0,0
89,Status SNT , 41.94M,0, 3.47B, Ethereum (ERC20),0,0
90,Seele SEELE , 41.68M,0, 696.66M, Ethereum (ERC20),0,0
91,Pundi X NPXS , 39.99M,0, 234.11B, Ethereum (ERC20),0,0
92,SOLVE SOLVE , 40.14M,0, 327.42M, Ethereum (ERC20),0,0
93,Ren REN , 39.44M,0, 799.51M, Own Blockchain,0,0
94,Chiliz CHZ , 37.9M,0, 3.6B, Ethereum (ERC20),0,0
95,iExec RLC RLC , 37.42M,0, 80.07M, Ethereum (ERC20),0,0
96,XMax XMX , 36.31M,0, 16.58B, Ethereum (ERC20),0,0
97,Electroneum ETN , 36.55M,0, 9.86B, Own Blockchain,0,0
98,ZenCash ZEN , 36.33M,0, 7.63M, Own Blockchain,0,0
99,STASIS EURO EURS , 35.44M,0, 31.98M, Ethereum (ERC20),0,0
100,Dentacoin DCN , 34.65M,0, 540.37B, Ethereum (ERC20),0,0
101,Digitex Futures DGTX , 32.55M,0, 775.78M, Ethereum (ERC20),0,0
102,Matic Network MATIC , 33.09M,0, 2.35B, Ethereum (ERC20),0,0
103,Molecular Future MOF , 33.55M,0, 40.66M, Own Blockchain,0,0
104,Decentraland MANA , 32.49M,0, 1.05B, Ethereum (ERC20),0,0
105,Elastos ELA , 31.41M,0, 16.06M, Own Blockchain,0,0
106,Tierion TNT , 31.15M,0, 428.48M, Ethereum (ERC20),0,0
107,Populous PPT , 30.82M,0, 53.25M, Ethereum (ERC20),0,0
108,Project Pai PAI , 30.62M,0, 1.45B, Own Blockchain,0,0
109,BitCapitalVendor BCV , 30.09M,0, 891.2M, Ethereum (ERC20),0,0
110,Stratis STRAT , 30.01M,0, 99.54M, Own Blockchain,0,0
111,GXChain GXC , 30.61M,0, 65M, Own Blockchain,0,0
112,Kyber Network KNC , 29.72M,0, 169.09M, Ethereum (ERC20),0,0
113,ReddCoin RDD , 29.56M,0, 28.81B, Own Blockchain,0,0
114,Bread BRD , 29.04M,0, 88.73M, Ethereum (ERC20),0,0
115,WINk WIN , 28.27M,0, 196.5B, Tron (TRC20),0,0
116,Loopring LRC , 27.71M,0, 913.9M, Ethereum (ERC20),0,0
117,Waltonchain WTC , 27.65M,0, 42.68M, Ethereum (ERC20),0,0
118,ODEM ODE , 27.65M,0, 230.36M, Own Blockchain,0,0
119,Civic CVC , 27.64M,0, 670M, Ethereum (ERC20),0,0
120,DxChain Token DX , 27.76M,0, 50B, Ethereum (ERC20),0,0
121,Metaverse ETP ETP , 27.33M,0, 76.85M, Own Blockchain,0,0
122,Nebulas NAS , 27.15M,0, 51.95M, Own Blockchain,0,0
123,Aion AION , 26.33M,0, 353.89M, Ethereum (ERC20),0,0
124,Factom FCT , 25.76M,0, 9.83M, Own Blockchain,0,0
125,WaykiChain WICC , 24.66M,0, 189M, Ethereum (ERC20),0,0
126,Nuls NULS , 24.14M,0, 73.77M, Ethereum (ERC20),0,0
127,Lambda LAMB , 23.94M,0, 779.59M, Ethereum (ERC20),0,0
128,DigixDAO DGD , 23.74M,0, 2M, Ethereum (ERC20),0,0
129,Aragon ANT , 23.56M,0, 29.8M, Ethereum (ERC20),0,0
130,Beam BEAM , 23.46M,0, 41.95M, Own Blockchain,0,0
131,Fetch FET , 22.78M,0, 605.54M, Ethereum (ERC20),0,0
132,FunFair FUN , 22.54M,0, 6.55B, Ethereum (ERC20),0,0
133,YOU COIN YOU , 22.39M,0, 413.79M, Ethereum (ERC20),0,0
134,Grin GRIN , 22.19M,0, 24.51M, Own Blockchain,0,0
135,Revain R , 22.18M,0, 484.45M, Ethereum (ERC20),0,0
136,QASH QASH , 21.87M,0, 350M, Ethereum (ERC20),0,0
137,Lina LINA , 21.59M,0, 273.29M, Ethereum (ERC20),0,0
138,EDC Blockchain EDC , 21.22M,0, 2.67B, Own Blockchain,0,0
139,Wanchain WAN , 21.33M,0, 106.15M, Ethereum (ERC20),0,0
140,Enigma ENG , 20.94M,0, 74.84M, Ethereum (ERC20),0,0
141,Thunder Token TT , 21.38M,0, 2.9B, Own Blockchain,0,0
142,Ark ARK , 21.14M,0, 113.44M, Own Blockchain,0,0
143,WAX WAXP , 20.97M,0, 837.21M, Ethereum (ERC20),0,0
144,Dragon Coins DRG , 20.93M,0, 348.66M, Ethereum (ERC20),0,0
145,Fantom FTM , 20.87M,0, 1.81B, Ethereum (ERC20),0,0
146,BHPCoin BHP , 20.64M,0, 19.37M, Own Blockchain,0,0
147,Binance USD BUSD , 20.73M,0, 20.71M, Ethereum (ERC20),0,0
148,Gatechain Token GT , 20.81M,0, 38.68M, Ethereum (ERC20),0,0
149,ILCoin ILC , 20.44M,0, 316.25M, Own Blockchain,0,0
150,Loom Network LOOM , 20.27M,0, 969.35M, Ethereum (ERC20),0,0
151,Orbs ORBS , 20.04M,0, 1.93B, Ethereum (ERC20),0,0
152,Bancor BNT , 20.08M,0, 61.83M, Ethereum (ERC20),0,0
153,Hyperion HYN , 19.85M,0, 316.77M, Ethereum (ERC20),0,0
154,Ripio Credit Network RCN , 19.46M,0, 509.24M, Ethereum (ERC20),0,0
155,TrueChain TRUE , 19.08M,0, 79.58M, Ethereum (ERC20),0,0
156,Hedera Hashgraph HBAR , 18.8M,0, 636.52M, Own Blockchain,0,0
157,Dent DENT , 18.97M,0, 75.63B, Ethereum (ERC20),0,0
158,C20 C20 , 18.67M,0, 40.43M, Ethereum (ERC20),0,0
159,TomoChain TOMO , 18.64M,0, 65.06M, Own Blockchain,0,0
160,Power Ledger POWR , 18.53M,0, 421.14M, Ethereum (ERC20),0,0
161,UNI COIN UNI , 18.52M,0, 12.91M, Ethereum (ERC20),0,0
162,Nexus NXS , 18.45M,0, 64.67M, Own Blockchain,0,0
163,Function X FX , 19.14M,0, 115.93M, Ethereum (ERC20),0,0
164,Santiment SAN , 18.21M,0, 62.66M, Ethereum (ERC20),0,0
165,Ignis IGNIS , 17.82M,0, 761.14M, Ardor,0,0
166,Storj STORJ , 17.71M,0, 135.79M, Ethereum (ERC20),0,0
167,Gnosis GNO , 17.22M,0, 1.1M, Ethereum (ERC20),0,0
168,Robotina ROX , 17.19M,0, 303.76M, Ethereum (ERC20),0,0
169,IoTeX IOTX , 17.15M,0, 4.33B, Ethereum (ERC20),0,0
170,Telcoin TEL , 16.69M,0, 39.19B, Ethereum (ERC20),0,0
171,Aladdin ADN , 16.12M,0, 31.97B, Ethereum (ERC20),0,0
172,Credits CS , 15.86M,0, 183.33M, Ethereum (ERC20),0,0
173,BitKan KAN , 15.87M,0, 6.1B, Ethereum (ERC20),0,0
174,Cocos-BCX COCOS , 15.74M,0, 15.72B, Ethereum (ERC20),0,0
175,Gas GAS , 15.85M,0, 10.13M, NEO,0,0
176,Metal MTL , 15.57M,0, 51.98M, Ethereum (ERC20),0,0
177,Bibox Token BIX , 15.35M,0, 107.19M, Ethereum (ERC20),0,0
178,Aave LEND , 14.86M,0, 1.13B, Ethereum (ERC20),0,0
179,Divi DIVI , 14.88M,0, 1.32B, Own Blockchain,0,0
180,Eidoo EDO , 14.87M,0, 51.95M, Ethereum (ERC20),0,0
181,Matrix AI Network MAN , 14.37M,0, 190.46M, Ethereum (ERC20),0,0
182,Moeda Loyalty Points MDA , 14.42M,0, 19.63M, Ethereum (ERC20),0,0
183,Groestlcoin GRS , 14.54M,0, 73.67M, Own Blockchain,0,0
184,Wagerr WGR , 14.38M,0, 187.07M, Own Blockchain,0,0
185,Loki LOKI , 13.66M,0, 43.62M, Own Blockchain,0,0
186,Diamond Platform Token DPT , 13.66M,0, 1.03M, Ethereum (ERC20),0,0
187,ArcBlock ABT , 13.62M,0, 98.55M, Ethereum (ERC20),0,0
188,Wirex Token WXT , 13.43M,0, 1B, Stellar,0,0
189,Cybermiles CMT , 13.3M,0, 800M, Ethereum (ERC20),0,0
190,Syscoin SYS , 13.13M,0, 567.47M, Own Blockchain,0,0
191,Celer Network CELR , 13.08M,0, 3.39B, Ethereum (ERC20),0,0
192,Harmony ONE , 12.88M,0, 2.59B, Own Blockchain,0,0
193,Cindicator CND , 13.25M,0, 1.78B, Ethereum (ERC20),0,0
194,NKN NKN , 12.41M,0, 466.67M, NEO,0,0
195,TTC TTC , 12.8M,0, 362.05M, Ethereum (ERC20),0,0
196,PIVX PIVX , 12.76M,0, 56.78M, Own Blockchain,0,0
197,Monolith TKN , 12.6M,0, 31.59M, Ethereum (ERC20),0,0
198,Nxt NXT , 12.56M,0, 999M, Own Blockchain,0,0
199,Theta Fuel TFUEL , 12.42M,0, 3.84B, Own Blockchain,0,0
200,MEXC Token MEXC , 558.31M,0, 915.11M, Ethereum (ERC20),0,0
201,INO COIN INO , 350.48M,0, 180M, Ethereum (ERC20),0,0
202,Insight Chain INB , 271.27M,0, 349.9M, Ethereum (ERC20),0,0
203,PRIZM PZM , 199.47M,0, 399.11M, Own Blockchain,0,0
204,ThoreNext THX , 185.42M,0, 21.65M, Ethereum (ERC20),0,0
205,Maximine Coin MXM , 165.2M,0, 1.65B, Ethereum (ERC20),0,0
206,ThoreCoin THR , 153.16M,0, 86.69K, Ethereum (ERC20),0,0
207,Oasis City OSC , 123.91M,0, 2.41B, Ethereum (ERC20),0,0
208,Cryptonex CNX , 116.21M,0, 55.69M, Own Blockchain,0,0
209,Silverway SLV , 86.27M,0, 100M, Ethereum (ERC20),0,0
210,Karatgold Coin KBC , 85.42M,0, 3.75B, Ethereum (ERC20),0,0
211,Mixin XIN , 81.57M,0, 461.31K, Ethereum (ERC20),0,0
212,Dimension Chain EON , 76.15M,0, 244.78M, Ethereum (ERC20),0,0
213,Bitbook Gambling BXK , 73.7M,0, 368.39M, Ethereum (ERC20),0,0
214,Beldex BDX , 71M,0, 980.22M, Own Blockchain,0,0
215,GAPS GAP , 67.98M,0, 10M, Ethereum (ERC20),0,0
216,BitForex Token BF , 58.49M,0, 4.25B, Ethereum (ERC20),0,0
217,OKB OKB , 56.77M,0, 20M, Ethereum (ERC20),0,0
218,MineBee MB , 54.08M,0, 1.83B, Ethereum (ERC20),0,0
219,Flexacoin FXC , 53.39M,0, 20.91B, Ethereum (ERC20),0,0
220,Dynamic Trading Rights DTR , 52.18M,0, 1.52B, Ethereum (ERC20),0,0
221,Clipper Coin CCCX , 51.78M,0, 3.78B, Ethereum (ERC20),0,0
222,MX Token MX , 46.59M,0, 230.43M, Ethereum (ERC20),0,0
223,Cryptoindex.com 100 CIX100 , 42.4M,0, 62.41M, Ethereum (ERC20),0,0
224,NEXT NET , 41.81M,0, 40.49M, Ethereum (ERC20),0,0
225,BreezeCoin BRZE , 40.53M,0, 100M, Ethereum (ERC20),0,0
226,Buggyra Coin Zero BCZERO , 37.95M,0, 2.01B, Ethereum (ERC20),0,0
227,PLATINCOIN PLC , 37.4M,0, 5M, Own Blockchain,0,0
228,Jewel JWL , 36.86M,0, 54.71M, Ethereum (ERC20),0,0
229,ETERNAL TOKEN XET , 36.44M,0, 93.47M, Ethereum (ERC20),0,0
230,Bit-Z Token BZ , 36.14M,0, 134.84M, Ethereum (ERC20),0,0
231,Veritaseum VERI , 36.1M,0, 2.15M, Ethereum (ERC20),0,0
232,CryptoVerificationCoin CVCC , 35.99M,0, 582.6K, Own Blockchain,0,0
233,Wixlar WIX , 33.54M,0, 2.39B, Ethereum (ERC20),0,0
234,StrongHands SHND , 33.11M,0, 9.32T, Own Blockchain,0,0
235,BitcoinHD BHD , 32.34M,0, 5.12M, Own Blockchain,0,0
236,VestChain VEST , 31.72M,0, 7.08B, Ethereum (ERC20),0,0
237,Bankera BNK , 29.84M,0, 24.61B, Ethereum (ERC20),0,0
238,1irstcoin FST , 29.66M,0, 33.97M, Ethereum (ERC20),0,0
239,LAToken LA , 28.38M,0, 380.1M, Ethereum (ERC20),0,0
240,botXcoin BOTX , 27.97M,0, 1.63B, Ethereum (ERC20),0,0
241,AgaveCoin AGVC , 27.7M,0, 390.62M, Ethereum (ERC20),0,0
242,USDK USDK , 27.67M,0, 28.6M, Ethereum (ERC20),0,0
243,FABRK FAB , 26.86M,0, 4.79B, Ethereum (ERC20),0,0
244,Qubitica QBIT , 26.53M,0, 808.67K, Ethereum (ERC20),0,0
245,Bitcoin 2 BTC2 , 25.7M,0, 17.36M, Own Blockchain,0,0
246,BQT BQTX , 25.65M,0, 382.29M, Ethereum (ERC20),0,0
247,Telos TLOS , 24.71M,0, 222.76M, EOS,0,0
248,Envion EVN , 23.77M,0, 119.2M, Ethereum (ERC20),0,0
249,General Attention Currency XAC , 23.26M,0, 10M, Ethereum (ERC20),0,0
250,BHEX Token BHT , 22.45M,0, 531.39M, Ethereum (ERC20),0,0
251,Ecoreal Estate ECOREAL , 22.27M,0, 208.92M, Ethereum (ERC20),0,0
252,XcelToken Plus XLAB , 21.61M,0, 6.26B, Ethereum (ERC20),0,0
253,Atlas Protocol ATP , 21.6M,0, 2.58B, Own Blockchain,0,0
254,Tratin TRAT , 21.22M,0, 112B, Ethereum (ERC20),0,0
255,GNY GNY , 20.19M,0, 188.38M, Ethereum (ERC20),0,0
256,MicroBitcoin MBC , 20.15M,0, 188.78B, Own Blockchain,0,0
257,BTU Protocol BTU , 19.68M,0, 70.01M, Ethereum (ERC20),0,0
258,Obyte GBYTE , 17.83M,0, 722.06K, Own Blockchain,0,0
259,GreenPower GRN , 16.99M,0, 3.23B, Own Blockchain,0,0
260,MB8 Coin MB8 , 16.39M,0, 585.53M, Own Blockchain,0,0
261,Ultiledger ULT , 16.14M,0, 642.38M, Ethereum (ERC20),0,0
262,Apollo Currency APL , 15.89M,0, 14.69B, Own Blockchain,0,0
263,Japan Content Token JCT , 15.83M,0, 293.15M, Ethereum (ERC20),0,0
264,MOAC MOAC , 15.35M,0, 62.46M, Ethereum (ERC20),0,0
265,Vitae VITAE , 15.06M,0, 17.73M, Own Blockchain,0,0
266,NewYork Exchange NYE , 14.73M,0, 3.19M, Own Blockchain,0,0
267,Unobtanium UNO , 14.63M,0, 201.17K, Own Blockchain,0,0
268,DAPS Token DAPS , 14.16M,0, 52.59B, Own Blockchain,0,0
269,Safe SAFE , 13.44M,0, 20.84M, Own Blockchain,0,0
270,DDKoin DDK , 12.59M,0, 1.71M, Own Blockchain,0,0
271,CryptoFranc XCHF , 12.23M,0, 12.04M, Ethereum (ERC20),0,0
272,B2BX B2B , 12.11M,0, 19.63M, Ethereum (ERC20),0,0
273,FIBOS FO , 12M,0, 1.06B, Own Blockchain,0,0
274,PlayChip PLA , 11.95M,0, 14.01B, Ethereum (ERC223),0,0
275,ZrCoin ZRC , 11.79M,0, 4.58M, Waves,0,0
276,UnlimitedIP UIP , 11.73M,0, 1.24B, EOS,0,0
277,Streamit Coin STREAM , 11.64M,0, 4.14M, Own Blockchain,0,0
278,SingularityNET AGI , 11.62M,0, 539.67M, Ethereum (ERC20),0,0
279,QuarkChain QKC , 11.49M,0, 2.54B, Own Blockchain,0,0
280,Elitium EUM , 11.28M,0, 9.66M, Ethereum (ERC20),0,0
281,OTOCASH OTO , 11.22M,0, 21.32M, Own Blockchain,0,0
282,Blackmoon BMC , 11M,0, 54M, Ethereum (ERC20),0,0
283,BnkToTheFuture BFT , 10.98M,0, 729.99M, Ethereum (ERC20),0,0
284,Litecoin Cash LCC , 10.95M,0, 648.1M, Own Blockchain,0,0
285,United Traders Token UTT , 10.91M,0, 37.51M, Ethereum (ERC20),0,0
286,Request Network REQ , 10.71M,0, 784.75M, Ethereum (ERC20),0,0
287,Vertcoin VTC , 10.68M,0, 51.85M, Own Blockchain,0,0
288,Polymath Network POLY , 10.63M,0, 441.44M, Ethereum (ERC20),0,0
289,Elrond ERD , 10.61M,0, 6.93B, Binance-Chain BEP-2,0,0
290,Constellation DAG , 10.55M,0, 858M, Ethereum (ERC20),0,0
291,RealTract RET , 10.52M,0, 10.6B, Ethereum (ERC20),0,0
292,Bitrue Coin BTR , 10.52M,0, 140.1M, Own Blockchain,0,0
293,IoT Chain ITC , 10.52M,0, 83.46M, Own Blockchain,0,0
294,Spectre.ai Dividend Token SXDT , 10.5M,0, 82.07M, Ethereum (ERC20),0,0
295,Noah Coin NOAH , 10.44M,0, 32.69B, Ethereum (ERC20),0,0
296,GoWithMi GMAT , 10.33M,0, 2.72B, Ethereum (ERC20),0,0
297,Fusion FSN , 10.2M,0, 35.31M, Ethereum (ERC20),0,0
298,Cortex CTXC , 10.19M,0, 149.79M, Ethereum (ERC20),0,0
299,CasinoCoin CSC , 10.11M,0, 39.38B, Own Blockchain,0,0
300,Carry CRE , 10.09M,0, 2.68B, Ethereum (ERC20),0,0
301,Davinci Coin DAC , 9.96M,0, 3.6B, Ethereum (ERC20),0,0
302,Quantum Resistant Ledger QRL , 9.91M,0, 69.44M, Own Blockchain,0,0
303,Einsteinium EMC2 , 9.85M,0, 218.98M, Own Blockchain,0,0
304,Skycoin SKY , 9.83M,0, 16M, Own Blockchain,0,0
305,Contentos COS , 9.78M,0, 642.35M, Binance-Chain BEP-2,0,0
306,Aencoin AEN , 9.77M,0, 261.83M, Ethereum (ERC20),0,0
307,TrustVerse TRV , 9.77M,0, 234.48M, Ethereum (ERC20),0,0
308,MediBloc MED , 9.73M,0, 2.36B, QTUM,0,0
309,Everipedia IQ , 9.69M,0, 5.32B, EOS,0,0
310,FNB Protocol FNB , 9.65M,0, 631.95M, Ethereum (ERC20),0,0
311,HYCON HYC , 9.54M,0, 2.03B, Own Blockchain,0,0
312,EOS Force EOSC , 9.46M,0, 964.07M, Own Blockchain,0,0
313,SaluS SLS , 9.35M,0, 1.01M, Own Blockchain,0,0
314,ZTCoin ZT , 9.32M,0, 225.95M, Ethereum (ERC20),0,0
315,FirstBlood 1ST , 9.25M,0, 85.56M, Own Blockchain,0,0
316,MEDX MEDX , 9.18M,0, 3.43B, Ethereum (ERC20),0,0
317,Origo OGO , 9.11M,0, 391.3M, Ethereum (ERC20),0,0
318,THEKEY TKY , 9.1M,0, 5.25B, NEO,0,0
319,TenX PAY , 9.07M,0, 134.94M, Ethereum (ERC20),0,0
320,UTRUST UTK , 9.04M,0, 450M, Ethereum (ERC20),0,0
321,Valor Token VALOR , 9.01M,0, 20.04M, Ethereum (ERC20),0,0
322,Gifto GTO , 8.98M,0, 604.21M, Ethereum (ERC20),0,0
323,REPO REPO , 8.94M,0, 109.96M, Stellar,0,0
324,FOAM FOAM , 8.82M,0, 286.47M, Ethereum (ERC20),0,0
325,PressOne PRS , 8.81M,0, 284.74M, Ethereum (ERC20),0,0
326,Blox CDT , 8.8M,0, 674.58M, Own Blockchain,0,0
327,Particl PART , 8.69M,0, 8.07M, Own Blockchain,0,0
328,Nectar NEC , 8.59M,0, 82.35M, Ethereum (ERC20),0,0
329,Tael WABI , 8.58M,0, 65.5M, Ethereum (ERC20),0,0
330,KAASO KAASO , 8.58M,0, 24.6M, Ethereum (ERC20),0,0
331,Mithril MITH , 8.51M,0, 688.28M, Ethereum (ERC20),0,0
332,Libra Credit LBA , 8.45M,0, 603.08M, Ethereum (ERC20),0,0
333,Content Value Network CVNT , 8.38M,0, 533.19M, Ethereum (ERC20),0,0
334,Pillar PLR , 8.22M,0, 259.35M, Ethereum (ERC20),0,0
335,Achain ACT , 8.11M,0, 954M, Own Blockchain,0,0
336,Origin Sport ORS , 8.09M,0, 300M, Own Blockchain,0,0
337,Dragonchain DRGN , 8.08M,0, 238.42M, Ethereum (ERC20),0,0
338,Mainframe MFT , 8.05M,0, 8.81B, Ethereum (ERC20),0,0
339,Metadium META , 8.04M,0, 1.25B, Ethereum (ERC20),0,0
340,Ankr ANKR , 8.01M,0, 4B, Ethereum (ERC20),0,0
341,Egretia EGT , 8M,0, 4.22B, Ethereum (ERC20),0,0
342,Gemini Dollar GUSD , 7.96M,0, 8M, Ethereum (ERC20),0,0
343,Measurable Data Token MDT , 7.92M,0, 557.64M, Ethereum (ERC20),0,0
344,bitCNY BITCNY , 7.91M,0, 55.91M, BitShares,0,0
345,Streamr DATA , 7.83M,0, 677.15M, Ethereum (ERC20),0,0
346,Force Protocol FOR , 7.82M,0, 249.05M, Ethereum (ERC20),0,0
347,Storm STORM , 7.81M,0, 6.33B, Ethereum (ERC20),0,0
348,Reserve Rights RSR , 7.81M,0, 4.21B, Ethereum (ERC20),0,0
349,Neblio NEBL , 7.76M,0, 15.01M, Own Blockchain,0,0
350,Ocean Protocol OCEAN , 7.74M,0, 335.32M, Ethereum (ERC20),0,0
351,IRISnet IRIS , 7.74M,0, 417.52M, Own Blockchain,0,0
352,Po.et POE , 7.6M,0, 3.14B, Ethereum (ERC20),0,0
353,Incent INCNT , 7.58M,0, 46.02M, Waves,0,0
354,Namecoin NMC , 7.54M,0, 14.74M, Own Blockchain,0,0
355,Raiden Network Token RDN , 7.47M,0, 50.59M, Ethereum (ERC20),0,0
356,Lightning Bitcoin [Futures] LBTC , 7.47M,0, 3.86M, Own Blockchain,0,0
357,UGAS UGAS , 7.46M,0, 171.72M, Ethereum (ERC20),0,0
358,Everex EVX , 7.46M,0, 22.7M, Ethereum (ERC20),0,0
